         151721284 function calls (150476101 primitive calls) in 251.363 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.713    0.713  251.363  251.363 C:\Users\LENOVO\desktop\pythonprojekt\main.py:8(main)
        5    0.000    0.000   95.548   19.110 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\io\parsers\readers.py:868(read_csv)
        5    1.289    0.258   95.548   19.110 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\io\parsers\readers.py:583(_read)
        5    0.000    0.000   94.191   18.838 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\io\parsers\readers.py:1907(read)
        5   82.733   16.547   86.440   17.288 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\io\parsers\c_parser_wrapper.py:222(read)
        1    1.877    1.877   54.439   54.439 C:\Users\LENOVO\desktop\pythonprojekt\movie_analysis.py:32(decide_region)
        1    0.152    0.152   39.504   39.504 C:\Users\LENOVO\desktop\pythonprojekt\movie_analysis.py:18(find_movie_regions)
        1    0.000    0.000   33.793   33.793 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\generic.py:224(apply)
        1    0.003    0.003   33.793   33.793 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\groupby.py:1780(apply)
        1    0.004    0.004   33.790   33.790 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\groupby.py:1850(_python_apply_general)
        1    2.678    2.678   33.700   33.700 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\ops.py:897(apply_groupwise)
  1110342    1.775    0.000   31.881    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\indexing.py:2568(__getitem__)
        1    0.620    0.620   29.295   29.295 C:\Users\LENOVO\desktop\pythonprojekt\movie_analysis.py:7(filter_years)
  1110342    1.710    0.000   28.732    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\indexing.py:2518(__getitem__)
  1110342    2.236    0.000   26.628    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\frame.py:4191(_get_value)
  1121321    2.122    0.000   21.787    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\frame.py:4626(_get_item_cache)
        1    0.063    0.063   20.568   20.568 C:\Users\LENOVO\desktop\pythonprojekt\movie_analysis.py:76(GDP_per_capita)
        1    0.000    0.000   20.499   20.499 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\frame.py:10170(apply)
        1    0.009    0.009   20.499   20.499 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\apply.py:864(apply)
        1    0.000    0.000   20.490   20.490 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\apply.py:1061(apply_standard)
        1    0.866    0.866   20.294   20.294 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\apply.py:1070(apply_series_generator)
   621658    1.081    0.000   18.520    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\indexing.py:2577(__setitem__)
   624385    0.665    0.000   17.898    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\ops.py:1149(__iter__)
   627192    1.207    0.000   17.679    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\frame.py:3983(_ixs)
   621658    1.456    0.000   17.073    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\groupby\ops.py:1171(_chop)
   621658    2.719    0.000   16.767    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\indexing.py:2529(__setitem__)
        5    0.000    0.000   16.639    3.328 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\series.py:5486(isin)
        5   16.638    3.328   16.639    3.328 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\algorithms.py:457(isin)
   619479    0.721    0.000   15.316    0.000 C:\Users\LENOVO\desktop\pythonprojekt\movie_analysis.py:78(<lambda>)
  2092063    3.653    0.000   14.621    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\series.py:1095(__getitem__)
   621658    1.432    0.000   12.103    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\frame.py:4540(_set_value)
   627191    1.146    0.000   10.101    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\frame.py:4608(_box_col_values)
   621660    1.072    0.000    8.334    0.000 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\internals\managers.py:1298(column_setitem)
        7    0.000    0.000    7.756    1.108 C:\Users\LENOVO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\pandas\core\frame.py:694(__init__)
